serial_number,item_name,room,building,department,entry_date,status,disposal_date,price,is_ewaste,item_age_years,item_category,default_life_years,warranty_years,out_of_warranty,exceeded_life,current_value,estimated_repair_cost,repair_cost_ratio,itad_decision
341200002.0,"HP Compaq NoteBook 6910p,# RH244AV,Intel Core2 Duo T7500,Santa Rosa,2.2GHz/800GHz FSB Mobile Intel 965 Express Chipset,2GB DDR2 RAM 667 2 DIMS, HD 120GB/7200RPM,14.1"" WXGA Display,Windows Vista Business 32/64 UMA,With HP carrying case.",IOL230/2,معهد الحقوق,معهد الحقوق,2008-01-14,Out,,1410.7652,0,18.321697467488026,other,6,2,1,1,0.0,352.6913,352.6913,Review for E-Waste
341100001.0,"HP LaserJet Printer P2015dn""CB368A""",,Unknown,Unknown,2008-01-15,Damage,10/13/2020,332.605325,1,18.31895961670089,printer,6,2,1,1,0.0,83.15133125,83.15133125,Recycle / Dispose
304800001.0,"HP Compaq Business Desktop dx2200,# HT 512M Including HP LCD Monitor L1706",,Unknown,Unknown,2007-11-06,In,,585.153,0,18.510609171800137,computer,5,3,1,1,0.0,146.28825,146.28825,Review for E-Waste
350300001.0,External H.D 500 GB+USB Housing,Maktoum315,آل مكتوم,دائرة الإعلام,2008-02-28,Out,,177.125,0,18.19849418206708,other,6,2,1,1,0.0,44.28125,44.28125,Review for E-Waste
351200001.0,HP LaserJet Color 3600n,,Unknown,Unknown,2008-03-01,Damage,9/7/2015,496.5168,1,18.19301848049281,other,6,2,1,1,0.0,124.1292,124.1292,Recycle / Dispose
333500001.0,"Dell OptiPlex 755 MT,Intel Core 2 Duo Processor E6750 2.66GHz 1333MHz FSB,4MB L2 cache,Chipset Intel Q965 ICH8Exp,RAM 2GB 677MHz Non ECC SDRAM 2DIMM,HD 160GB 7200rpm 3GB/s SATA,16xDVD+/-RW SATA Roxio,128MB ATI Radeon X1300 ""1DVI/1 TV-out",IOL315,معهد الحقوق,معهد الحقوق,2007-12-04,Out,,744.9147,0,18.43394934976044,display,7,3,1,1,0.0,186.228675,186.228675,Review for E-Waste
333500002.0,"Dell OptiPlex 755 MT,Intel Core 2 Duo Processor E6750 2.66GHz 1333MHz FSB,4MB L2 cache,Chipset Intel Q965 ICH8Exp,RAM 2GB 677MHz Non ECC SDRAM 2DIMM,HD 160GB 7200rpm 3GB/s SATA,16xDVD+/-RW SATA Roxio,128MB ATI Radeon X1300 ""1DVI/1 TV-out",,Unknown,Unknown,2007-12-04,Damage,8/1/2017,744.9147,1,18.43394934976044,display,7,3,1,1,0.0,186.228675,186.228675,Recycle / Dispose
333500003.0,"Dell OptiPlex 755 MT,Intel Core 2 Duo Processor E6750 2.66GHz 1333MHz FSB,4MB L2 cache,Chipset Intel Q965 ICH8Exp,RAM 2GB 677MHz Non ECC SDRAM 2DIMM,HD 160GB 7200rpm 3GB/s SATA,16xDVD+/-RW SATA Roxio,128MB ATI Radeon X1300 ""1DVI/1 TV-out",IOL315,معهد الحقوق,معهد الحقوق,2007-12-04,Out,,744.9147,0,18.43394934976044,display,7,3,1,1,0.0,186.228675,186.228675,Review for E-Waste
333500004.0,"Dell OptiPlex 755 MT,Intel Core 2 Duo Processor E6750 2.66GHz 1333MHz FSB,4MB L2 cache,Chipset Intel Q965 ICH8Exp,RAM 2GB 677MHz Non ECC SDRAM 2DIMM,HD 160GB 7200rpm 3GB/s SATA,16xDVD+/-RW SATA Roxio,128MB ATI Radeon X1300 ""1DVI/1 TV-out",IOL313,معهد الحقوق,معهد الحقوق,2007-12-04,Out,,744.9147,0,18.43394934976044,display,7,3,1,1,0.0,186.228675,186.228675,Review for E-Waste
333500005.0,"Dell OptiPlex 755 MT,Intel Core 2 Duo Processor E6750 2.66GHz 1333MHz FSB,4MB L2 cache,Chipset Intel Q965 ICH8Exp,RAM 2GB 677MHz Non ECC SDRAM 2DIMM,HD 160GB 7200rpm 3GB/s SATA,16xDVD+/-RW SATA Roxio,128MB ATI Radeon X1300 ""1DVI/1 TV-out",IOL315,معهد الحقوق,معهد الحقوق,2007-12-04,Out,,744.9147,0,18.43394934976044,display,7,3,1,1,0.0,186.228675,186.228675,Review for E-Waste
333500006.0,"Dell OptiPlex 755 MT,Intel Core 2 Duo Processor E6750 2.66GHz 1333MHz FSB,4MB L2 cache,Chipset Intel Q965 ICH8Exp,RAM 2GB 677MHz Non ECC SDRAM 2DIMM,HD 160GB 7200rpm 3GB/s SATA,16xDVD+/-RW SATA Roxio,128MB ATI Radeon X1300 ""1DVI/1 TV-out",,Unknown,Unknown,2007-12-04,Damage,2/2/2017,744.9147,1,18.43394934976044,display,7,3,1,1,0.0,186.228675,186.228675,Recycle / Dispose
333500007.0,"Dell OptiPlex 755 MT,Intel Core 2 Duo Processor E6750 2.66GHz 1333MHz FSB,4MB L2 cache,Chipset Intel Q965 ICH8Exp,RAM 2GB 677MHz Non ECC SDRAM 2DIMM,HD 160GB 7200rpm 3GB/s SATA,16xDVD+/-RW SATA Roxio,128MB ATI Radeon X1300 ""1DVI/1 TV-out",N.Shaheen005,نسيب شاهين,معهد الحقوق,2007-12-04,Out,,744.9147,0,18.43394934976044,display,7,3,1,1,0.0,186.228675,186.228675,Review for E-Waste
355700001.0,External Hard Disk 250 GB With Housing (USB+Firewire),N.Shaheen002,نسيب شاهين,مركز التعليم المستمر,2008-03-10,Out,,113.36,0,18.168377823408623,other,6,2,1,1,0.0,28.34,28.34,Review for E-Waste
314400001.0,"HP LaserJet Printer 3005n ""Q7814A""",,Unknown,Unknown,2007-09-11,Damage,6/20/2020,634.17645,1,18.663928815879533,printer,6,2,1,1,0.0,158.5441125,158.5441125,Recycle / Dispose
357500001.0,"HP ProCurve Switch 2650 ""J4899B""",N.Shaheen002,نسيب شاهين,مركز التعليم المستمر,2008-03-22,Out,,566.2332,0,18.13552361396304,network,6,3,1,1,0.0,141.5583,141.5583,Review for E-Waste
317300001.0,HP DeskJet D4263,,Unknown,Unknown,2007-09-26,Damage,7/1/2009,80.4852,1,18.622861054072555,other,6,2,1,1,0.0,20.1213,20.1213,Recycle / Dispose
328100001.0,"HP Compaq NoteBook 6910p,# RH244AV,Intel Core2 Duo T7500,Santa Rosa,2.2GHz/800GHz FSB Mobile Intel 965 Express Chipset,2GB DDR2 RAM 667 2 DIMS, HD 120GB/7200RPM,14.1"" WXGA Display,Windows Vista Business 32/64 UMA,With HP carrying case.",,Unknown,Unknown,2007-11-03,Damage,6/18/2020,1267.9263,1,18.51882272416153,other,6,2,1,1,0.0,316.981575,316.981575,Recycle / Dispose
331500001.0,"HP ScanJet 7560A with ADF,# L1940A",Al-Alami013,زهير العلمي,وحدة المشتريات واللوازم,2007-11-08,Out,,606.483,0,18.50513347022587,other,6,2,1,1,0.0,151.62075,151.62075,Review for E-Waste
329400001.0,"Dell OptiPlex 755 MT,Intel Core 2 Duo Processor E6750 2.66GHz 1333MHz FSB,4MB L2 cache,Chipset Intel Q965 ICH8Exp,RAM 2GB 677MHz Non ECC SDRAM 2DIMM,HD 160GB 7200rpm 3GB/s SATA,16xDVD+/-RW SATA Roxio,128MB ATI Radeon X1300 ""1DVI/1 TV-out",,Unknown,Unknown,2007-12-04,Damage,2/27/2020,744.9999987,1,18.43394934976044,display,7,3,1,1,0.0,186.249999675,186.249999675,Recycle / Dispose
329500001.0,"DELL 17"" LCD Monitor DVI # 1708FP",,Unknown,Unknown,2007-12-04,Damage,2/27/2020,162.819,1,18.43394934976044,display,7,3,1,1,0.0,40.70475,40.70475,Recycle / Dispose
336700001.0,External Hard Disk for LapTop 120GB,,Unknown,Unknown,2007-12-04,Damage,6/22/2020,95.985,1,18.43394934976044,computer,5,3,1,1,0.0,23.99625,23.99625,Recycle / Dispose
332000001.0,"DELL 19"" LCD Monitor DVI # SP1908FP",,Unknown,Unknown,2007-12-15,Damage,1/21/2017,195.3828,1,18.403832991101982,display,7,3,1,1,0.0,48.8457,48.8457,Recycle / Dispose
332000002.0,"Dell OptiPlex 755 MT,Intel Core 2 Duo Processor E6750 2.66GHz 1333MHz FSB,4MB L2 cache,Chipset Intel Q965 ICH8Exp,RAM 2GB 677MHz Non ECC SDRAM 2DIMM,HD 160GB 7200rpm 3GB/s SATA,16xDVD+/-RW SATA Roxio,128MB ATI Radeon X1300 ""1DVI/1 TV-out",,Unknown,Unknown,2007-12-15,Damage,1/21/2017,744.9147,1,18.403832991101982,display,7,3,1,1,0.0,186.228675,186.228675,Recycle / Dispose
320500001.0,"HP LaserJet Printer P2015dn""CB368A""",,Unknown,Unknown,2007-10-03,Damage,6/20/2020,333.77895,1,18.60369609856263,printer,6,2,1,1,0.0,83.4447375,83.4447375,Recycle / Dispose
327600001.0,"HP Compaq NoteBook 6910p,# RH244AV,Intel Core2 Duo T7500,Santa Rosa,2.2GHz/800GHz FSB Mobile Intel 965 Express Chipset,2GB DDR2 RAM 667 2 DIMS, HD 120GB/7200RPM,14.1"" WXGA Display,Windows Vista Business 32/64 UMA,With HP carrying case.",,Unknown,Unknown,2007-11-03,Damage,2/27/2020,1267.9263,1,18.51882272416153,other,6,2,1,1,0.0,316.981575,316.981575,Recycle / Dispose
327800001.0,"DELL 17"" LCD Monitor DVI # 1708FP",,Unknown,Unknown,2007-12-04,Damage,6/20/2020,163.9999994,1,18.43394934976044,display,7,3,1,1,0.0,40.99999985,40.99999985,Recycle / Dispose
327800002.0,"Dell OptiPlex 755 MT,Intel Core 2 Duo Processor E6750 2.66GHz 1333MHz FSB,4MB L2 cache,Chipset Intel Q965 ICH8Exp,RAM 2GB 677MHz Non ECC SDRAM 2DIMM,HD 160GB 7200rpm 3GB/s SATA,16xDVD+/-RW SATA Roxio,128MB ATI Radeon X1300 ""1DVI/1 TV-out",,Unknown,Unknown,2007-12-04,Damage,11/4/2015,744.9999987,1,18.43394934976044,display,7,3,1,1,0.0,186.249999675,186.249999675,Recycle / Dispose
327500001.0,"BenQ MP 721c,LCD Projector",,Unknown,Unknown,2007-11-28,Damage,2/27/2020,1018.4364,1,18.45037645448323,display,7,3,1,1,0.0,254.6091,254.6091,Recycle / Dispose
356800001.0,"HP Compaq Business Desktop CMT dc7800 # GV982EA,Processor Intel Core 2 Quad Q6600 2.4GHz/1066GHz FSB,Exp Chipset Q35,L2 cache 8MB, RAM 2GB DDR2 667MHz,HD 250GB/7200RPM,DVD+/-RW 16x,Ext Disp Card GJ120AA-NVIDIA GE 8400GS 256MB PCIe DVI",,Unknown,Unknown,2008-03-25,Damage,9/24/2018,636.835225,1,18.127310061601644,computer,5,3,1,1,0.0,159.20880625,159.20880625,Recycle / Dispose
356500001.0,"HP LCD Monitor 17"" VGA/DVI # L1740",,Unknown,Unknown,2008-03-24,Damage,8/24/2020,197.140125,1,18.130047912388772,display,7,3,1,1,0.0,49.28503125,49.28503125,Recycle / Dispose
350800001.0,"HP LCD Monitor 17"" VGA/DVI # L1740",Al-Juraysi107,الجريسي,دائرة المحاسبة,2008-03-25,Out,,197.140125,0,18.127310061601644,display,7,3,1,1,0.0,49.28503125,49.28503125,Review for E-Waste
350800002.0,"HP Compaq Business Desktop CMT dc7800 # GV982EA,Processor Intel Core 2 Quad Q6600 2.4GHz/1066GHz FSB,Exp Chipset Q35,L2 cache 8MB, RAM 2GB DDR2 667MHz,HD 250GB/7200RPM,DVD+/-RW 16x,Ext Disp Card GJ120AA-NVIDIA GE 8400GS 256MB PCIe DVI",Al-Juraysi108,الجريسي,دائرة المحاسبة,2008-03-25,Out,,636.835225,0,18.127310061601644,computer,5,3,1,1,0.0,159.20880625,159.20880625,Review for E-Waste
355600001.0,"HP LCD Monitor 17"" VGA/DVI # L1740",,Unknown,Unknown,2008-03-25,Damage,12/9/2024,197.140125,1,18.127310061601644,display,7,3,1,1,0.0,49.28503125,49.28503125,Recycle / Dispose
355600002.0,"HP Compaq Business Desktop CMT dc7800 # GV982EA,Processor Intel Core 2 Quad Q6600 2.4GHz/1066GHz FSB,Exp Chipset Q35,L2 cache 8MB, RAM 2GB DDR2 667MHz,HD 250GB/7200RPM,DVD+/-RW 16x,Ext Disp Card GJ120AA-NVIDIA GE 8400GS 256MB PCIe DVI",,Unknown,Unknown,2008-03-25,In,,636.835225,0,18.127310061601644,computer,5,3,1,1,0.0,159.20880625,159.20880625,Review for E-Waste
350900001.0,"HP LCD Monitor 17"" VGA/DVI # L1740",,Unknown,Unknown,2008-03-25,Damage,2/27/2020,197.140125,1,18.127310061601644,display,7,3,1,1,0.0,49.28503125,49.28503125,Recycle / Dispose
350900002.0,"HP Compaq Business Desktop CMT dc7800 # GV982EA,Processor Intel Core 2 Quad Q6600 2.4GHz/1066GHz FSB,Exp Chipset Q35,L2 cache 8MB, RAM 2GB DDR2 667MHz,HD 250GB/7200RPM,DVD+/-RW 16x,Ext Disp Card GJ120AA-NVIDIA GE 8400GS 256MB PCIe DVI",,Unknown,Unknown,2008-03-25,Damage,11/9/2016,636.835225,1,18.127310061601644,computer,5,3,1,1,0.0,159.20880625,159.20880625,Recycle / Dispose
352200001.0,"HP LCD Monitor 17"" VGA/DVI # L1740",,Unknown,Unknown,2008-03-25,Damage,9/24/2018,197.140125,1,18.127310061601644,display,7,3,1,1,0.0,49.28503125,49.28503125,Recycle / Dispose
352200002.0,"HP Compaq Business Desktop CMT dc7800 # GV982EA,Processor Intel Core 2 Quad Q6600 2.4GHz/1066GHz FSB,Exp Chipset Q35,L2 cache 8MB, RAM 2GB DDR2 667MHz,HD 250GB/7200RPM,DVD+/-RW 16x,Ext Disp Card GJ120AA-NVIDIA GE 8400GS 256MB PCIe DVI",,Unknown,Unknown,2008-03-25,Damage,9/24/2018,636.835225,1,18.127310061601644,computer,5,3,1,1,0.0,159.20880625,159.20880625,Recycle / Dispose
358400001.0,"HP LCD Monitor 17"" VGA/DVI # L1740",Al-Juraysi314,الجريسي,كلية الصيدلة والتمريض والمهن الصحية,2008-03-25,Out,,197.140125,0,18.127310061601644,display,7,3,1,1,0.0,49.28503125,49.28503125,Review for E-Waste
358400002.0,"HP LCD Monitor 17"" VGA/DVI # L1740",,Unknown,Unknown,2008-03-25,Damage,2/26/2020,197.140125,1,18.127310061601644,display,7,3,1,1,0.0,49.28503125,49.28503125,Recycle / Dispose
358400003.0,"HP Compaq Business Desktop CMT dc7800 # GV982EA,Processor Intel Core 2 Quad Q6600 2.4GHz/1066GHz FSB,Exp Chipset Q35,L2 cache 8MB, RAM 2GB DDR2 667MHz,HD 250GB/7200RPM,DVD+/-RW 16x,Ext Disp Card GJ120AA-NVIDIA GE 8400GS 256MB PCIe DVI",,Unknown,Unknown,2008-03-25,Damage,1/22/2020,636.835225,1,18.127310061601644,computer,5,3,1,1,0.0,159.20880625,159.20880625,Recycle / Dispose
358400004.0,"HP Compaq Business Desktop CMT dc7800 # GV982EA,Processor Intel Core 2 Quad Q6600 2.4GHz/1066GHz FSB,Exp Chipset Q35,L2 cache 8MB, RAM 2GB DDR2 667MHz,HD 250GB/7200RPM,DVD+/-RW 16x,Ext Disp Card GJ120AA-NVIDIA GE 8400GS 256MB PCIe DVI",Al-Juraysi314,الجريسي,كلية الصيدلة والتمريض والمهن الصحية,2008-03-25,Out,,636.835225,0,18.127310061601644,computer,5,3,1,1,0.0,159.20880625,159.20880625,Review for E-Waste
358600001.0,"HP LCD Monitor 17"" VGA/DVI # L1740",,Unknown,Unknown,2008-03-25,Damage,9/24/2018,197.140125,1,18.127310061601644,display,7,3,1,1,0.0,49.28503125,49.28503125,Recycle / Dispose
358600002.0,"HP Compaq Business Desktop CMT dc7800 # GV982EA,Processor Intel Core 2 Quad Q6600 2.4GHz/1066GHz FSB,Exp Chipset Q35,L2 cache 8MB, RAM 2GB DDR2 667MHz,HD 250GB/7200RPM,DVD+/-RW 16x,Ext Disp Card GJ120AA-NVIDIA GE 8400GS 256MB PCIe DVI",,Unknown,Unknown,2008-03-25,Damage,6/23/2020,636.835225,1,18.127310061601644,computer,5,3,1,1,0.0,159.20880625,159.20880625,Recycle / Dispose
355000001.0,"HP LCD Monitor 17"" VGA/DVI # L1740",,Unknown,Unknown,2008-03-25,Damage,10/24/2019,197.140125,1,18.127310061601644,display,7,3,1,1,0.0,49.28503125,49.28503125,Recycle / Dispose
355000002.0,"HP LCD Monitor 17"" VGA/DVI # L1740",Baramki134,برامكي,قسم الدعم الفني,2008-03-25,Out,,197.140125,0,18.127310061601644,display,7,3,1,1,0.0,49.28503125,49.28503125,Review for E-Waste
355000003.0,"HP LCD Monitor 17"" VGA/DVI # L1740",Baramki134,برامكي,قسم الدعم الفني,2008-03-25,Out,,197.140125,0,18.127310061601644,display,7,3,1,1,0.0,49.28503125,49.28503125,Review for E-Waste
355000004.0,"HP Compaq Business Desktop CMT dc7800 # GV982EA,Processor Intel Core 2 Quad Q6600 2.4GHz/1066GHz FSB,Exp Chipset Q35,L2 cache 8MB, RAM 2GB DDR2 667MHz,HD 250GB/7200RPM,DVD+/-RW 16x,Ext Disp Card GJ120AA-NVIDIA GE 8400GS 256MB PCIe DVI",Al-Juraysi207,الجريسي,دائرة اللغة الفرنسية,2008-03-25,Out,,636.835225,0,18.127310061601644,computer,5,3,1,1,0.0,159.20880625,159.20880625,Review for E-Waste
355000005.0,"HP Compaq Business Desktop CMT dc7800 # GV982EA,Processor Intel Core 2 Quad Q6600 2.4GHz/1066GHz FSB,Exp Chipset Q35,L2 cache 8MB, RAM 2GB DDR2 667MHz,HD 250GB/7200RPM,DVD+/-RW 16x,Ext Disp Card GJ120AA-NVIDIA GE 8400GS 256MB PCIe DVI",,Unknown,Unknown,2008-03-25,Damage,12/9/2024,636.835225,1,18.127310061601644,computer,5,3,1,1,0.0,159.20880625,159.20880625,Recycle / Dispose
355000006.0,"HP Compaq Business Desktop CMT dc7800 # GV982EA,Processor Intel Core 2 Quad Q6600 2.4GHz/1066GHz FSB,Exp Chipset Q35,L2 cache 8MB, RAM 2GB DDR2 667MHz,HD 250GB/7200RPM,DVD+/-RW 16x,Ext Disp Card GJ120AA-NVIDIA GE 8400GS 256MB PCIe DVI",,Unknown,Unknown,2008-03-25,Damage,12/9/2024,636.835225,1,18.127310061601644,computer,5,3,1,1,0.0,159.20880625,159.20880625,Recycle / Dispose
360800001.0,"HP LCD Monitor 17"" VGA/DVI # L1740",,Unknown,Unknown,2008-03-27,Damage,6/20/2020,197.140125,1,18.12183436002738,display,7,3,1,1,0.0,49.28503125,49.28503125,Recycle / Dispose
360800002.0,"HP Compaq Business Desktop CMT dc7800 # GV982EA,Processor Intel Core 2 Quad Q6600 2.4GHz/1066GHz FSB,Exp Chipset Q35,L2 cache 8MB, RAM 2GB DDR2 667MHz,HD 250GB/7200RPM,DVD+/-RW 16x,Ext Disp Card GJ120AA-NVIDIA GE 8400GS 256MB PCIe DVI",,Unknown,Unknown,2008-03-27,Damage,6/20/2020,636.835225,1,18.12183436002738,computer,5,3,1,1,0.0,159.20880625,159.20880625,Recycle / Dispose
360900001.0,Adapter For Laptop,,Unknown,Unknown,2008-03-29,Damage,10/24/2020,73.368,1,18.11635865845312,computer,5,3,1,1,0.0,18.342,18.342,Recycle / Dispose
364400001.0,"HP LCD Monitor 17"" VGA/DVI # L1740",,Unknown,Unknown,2008-04-17,Damage,8/18/2022,197.140125,1,18.06433949349761,display,7,3,1,1,0.0,49.28503125,49.28503125,Recycle / Dispose
364400002.0,"HP LCD Monitor 17"" VGA/DVI # L1740",,Unknown,Unknown,2008-04-17,Damage,8/18/2022,197.140125,1,18.06433949349761,display,7,3,1,1,0.0,49.28503125,49.28503125,Recycle / Dispose
364400003.0,"HP Compaq Business Desktop CMT dc7800 # GV982EA,Processor Intel Core 2 Quad Q6600 2.4GHz/1066GHz FSB,Exp Chipset Q35,L2 cache 8MB, RAM 2GB DDR2 667MHz,HD 250GB/7200RPM,DVD+/-RW 16x,Ext Disp Card GJ120AA-NVIDIA GE 8400GS 256MB PCIe DVI",SCI005,كلية العلوم,دائرة الفيزياء,2008-04-17,Out,,636.835225,0,18.06433949349761,computer,5,3,1,1,0.0,159.20880625,159.20880625,Review for E-Waste
100011.0,"HP Compaqdx7400 Minitower Intel Core 2Quad processors Q6600,2.4GHZ/1066MHz FSB, Chipset Intel Q33,L2 cache 8MB,RAM 2GB DDR2-Synch DRAM PC2-5300,HD SATA 250GB 7200rpm,Genuine Windows Vista Business 32 bit",,Unknown,Unknown,2008-04-07,In,,709.521,0,18.091718001368925,computer,5,3,1,1,0.0,177.38025,177.38025,Review for E-Waste
100012.0,"HP Compaqdx7400 Minitower Intel Core 2Quad processors Q6600,2.4GHZ/1066MHz FSB, Chipset Intel Q33,L2 cache 8MB,RAM 2GB DDR2-Synch DRAM PC2-5300,HD SATA 250GB 7200rpm,Genuine Windows Vista Business 32 bit",,Unknown,Unknown,2008-04-07,In,,709.521,0,18.091718001368925,computer,5,3,1,1,0.0,177.38025,177.38025,Review for E-Waste
100013.0,"HP Compaqdx7400 Minitower Intel Core 2Quad processors Q6600,2.4GHZ/1066MHz FSB, Chipset Intel Q33,L2 cache 8MB,RAM 2GB DDR2-Synch DRAM PC2-5300,HD SATA 250GB 7200rpm,Genuine Windows Vista Business 32 bit",,Unknown,Unknown,2008-04-07,In,,709.521,0,18.091718001368925,computer,5,3,1,1,0.0,177.38025,177.38025,Review for E-Waste
100014.0,"HP Compaqdx7400 Minitower Intel Core 2Quad processors Q6600,2.4GHZ/1066MHz FSB, Chipset Intel Q33,L2 cache 8MB,RAM 2GB DDR2-Synch DRAM PC2-5300,HD SATA 250GB 7200rpm,Genuine Windows Vista Business 32 bit",,Unknown,Unknown,2008-04-07,In,,709.521,0,18.091718001368925,computer,5,3,1,1,0.0,177.38025,177.38025,Review for E-Waste
100015.0,"HP Compaqdx7400 Minitower Intel Core 2Quad processors Q6600,2.4GHZ/1066MHz FSB, Chipset Intel Q33,L2 cache 8MB,RAM 2GB DDR2-Synch DRAM PC2-5300,HD SATA 250GB 7200rpm,Genuine Windows Vista Business 32 bit",,Unknown,Unknown,2008-04-07,In,,709.521,0,18.091718001368925,computer,5,3,1,1,0.0,177.38025,177.38025,Review for E-Waste
100016.0,"HP Compaqdx7400 Minitower Intel Core 2Quad processors Q6600,2.4GHZ/1066MHz FSB, Chipset Intel Q33,L2 cache 8MB,RAM 2GB DDR2-Synch DRAM PC2-5300,HD SATA 250GB 7200rpm,Genuine Windows Vista Business 32 bit",,Unknown,Unknown,2008-04-07,In,,709.521,0,18.091718001368925,computer,5,3,1,1,0.0,177.38025,177.38025,Review for E-Waste
100017.0,"HP Compaqdx7400 Minitower Intel Core 2Quad processors Q6600,2.4GHZ/1066MHz FSB, Chipset Intel Q33,L2 cache 8MB,RAM 2GB DDR2-Synch DRAM PC2-5300,HD SATA 250GB 7200rpm,Genuine Windows Vista Business 32 bit",,Unknown,Unknown,2008-04-07,In,,709.521,0,18.091718001368925,computer,5,3,1,1,0.0,177.38025,177.38025,Review for E-Waste
100018.0,"HP Compaqdx7400 Minitower Intel Core 2Quad processors Q6600,2.4GHZ/1066MHz FSB, Chipset Intel Q33,L2 cache 8MB,RAM 2GB DDR2-Synch DRAM PC2-5300,HD SATA 250GB 7200rpm,Genuine Windows Vista Business 32 bit",,Unknown,Unknown,2008-04-07,In,,709.521,0,18.091718001368925,computer,5,3,1,1,0.0,177.38025,177.38025,Review for E-Waste
